Dim1,Dim2,assignment_delay_label
13.0792885,-29.439,4
20.150997,10.791191,3
-40.93063,2.1638925,1
42.81699,-15.1610775,4
-40.092953,-4.366111,2
1.830307,-25.787882,3
-40.060856,-6.1985755,2
13.635919,13.639174,3
-49.66322,15.464217,1
-33.595177,-18.82407,2
41.813644,26.7234,4
-46.96296,-14.955793,2
-1.9859643,-6.9963055,3
-38.86589,13.885935,2
51.428116,4.4085774,3
-51.008762,-12.698571,1
40.314022,-13.624375,4
43.778503,13.791049,3
-44.43907,1.1586108,1
-61.446373,-7.2167897,0
-62.484272,0.6204869,1
20.911697,13.57623,3
-30.584242,-10.919391,2
33.205982,14.813973,3
-45.23675,-16.79764,2
-40.308502,4.3760242,1
30.234919,19.259453,3
42.37981,-3.2397692,3
-48.32657,7.3129616,1
-39.00629,19.044247,1
35.371044,26.786789,3
18.373817,16.659458,3
52.644745,9.599869,3
51.093906,11.929053,3
13.314479,-18.941296,3
23.193987,1.809789,4
-63.801277,6.7272143,1
-67.7813,2.186598,1
-32.72536,-10.86579,2
10.76541,-25.73346,3
25.977623,-3.716398,4
-54.741573,-0.78751993,0
-49.759216,9.12775,1
29.360813,-1.2324731,3
33.825542,-22.58659,4
-26.7183,10.875876,2
6.524349,-30.787668,3
-63.315323,-7.6519384,0
-59.999184,-8.763757,1
24.384922,-10.285607,4
31.084404,-17.359684,4
-50.267277,12.650812,0
26.977978,-12.761357,4
8.42759,-23.858482,3
2.896074,-2.2576694,4
50.180862,2.6484394,3
-3.1451926,-10.485503,3
10.494541,-21.274712,3
35.371044,26.786789,3
-57.923767,-11.488424,1
-36.73632,18.92504,2
10.494541,-21.274712,3
-51.45283,-16.321503,1
34.373455,9.656446,3
29.32156,-19.727282,4
13.986518,16.304918,3
-38.11431,-10.803085,2
18.119808,-27.425852,4
-45.835377,-6.927422,1
45.56813,4.543039,3
18.108362,14.113951,3
40.18874,27.012756,4
0.45148554,-28.07112,3
45.99803,18.769812,3
13.437819,-0.7585341,3
13.048684,-26.924446,4
7.4245644,-22.388388,3
27.116957,-18.174994,4
1.45036,-9.793964,3
43.605965,17.454224,3
-63.49839,3.2509694,1
32.980217,5.4394574,3
-47.660824,-17.359837,2
2.8788366,-8.194569,3
4.868976,-28.80038,3
24.857067,-14.920239,4
35.850937,-5.778214,4
-36.36597,17.41025,2
38.68886,-14.627291,4
24.304325,21.299734,3
4.703873,-13.700268,3
32.889484,7.408647,3
25.010996,-28.128544,4
-27.270842,-3.6126418,2
-27.343761,15.508696,2
16.006067,3.2718947,3
24.403263,19.258097,3
33.811134,17.156872,3
-38.138256,5.558883,2
45.56813,4.543039,3
-47.11334,-11.315428,1
28.675434,0.81197685,3
-62.160107,-2.2525904,0
-34.673923,-8.919273,2
-35.79646,-15.21124,2
-38.576584,2.3836408,2
29.220867,25.753113,3
-27.928524,11.198462,2
-32.5768,4.5673227,2
-58.942196,12.53935,1
-70.56604,6.9820213,2
6.313166,-17.145086,3
7.7463255,-18.055248,3
36.67215,24.273994,3
-0.30144832,-25.452665,3
-29.187243,-17.566362,2
15.460613,-18.696629,4
34.570415,6.5501766,3
32.537193,22.018343,3
-34.529957,-7.4948297,2
-29.412663,-8.834824,2
-43.915512,-8.74733,2
13.174922,3.9560645,3
11.799431,0.20343453,3
45.40506,-8.231221,3
2.4125817,-18.293545,3
32.05785,25.288828,3
3.208049,-5.7228765,4
-52.876255,-7.868664,1
37.971684,3.0403934,3
42.81699,-15.1610775,4
-60.649323,11.254881,1
24.319677,-2.9841416,4
44.09867,-11.176626,4
-29.013313,-5.079321,2
-49.50172,-11.3774185,1
26.07049,1.560891,3
-36.885193,-13.077353,2
-35.85349,9.152483,2
43.13629,18.962193,3
16.179626,12.879691,3
-34.353092,23.027414,2
48.8975,18.06571,3
45.20857,20.486961,3
-30.085125,-7.4076595,2
-30.988226,4.0649605,2
-68.59445,-0.14656578,1
-62.142525,3.0346482,1
4.853235,-32.06512,3
-62.33441,9.669973,1
48.80683,-1.4310207,3
26.184113,6.901426,3
-50.174904,1.5252899,1
51.428116,4.4085774,3
-32.38383,-20.897041,2
26.703716,-27.347544,4
10.337476,-29.385086,3
13.914258,7.6690984,3
38.215736,14.05541,3
-59.63846,6.9915233,0
26.432632,14.830096,3
0.90484196,-3.770038,4
31.664856,27.539581,3
15.47214,7.545915,3
26.480825,-16.55896,4
-58.745346,-7.336524,1
-55.939037,-8.334372,1
4.0640693,-17.77335,3
-28.369265,1.8119284,2
20.911697,13.57623,3
33.825542,-22.58659,4
-30.953384,0.7205132,2
-54.492477,9.145046,1
29.240152,14.414451,3
-28.800331,-19.952913,2
26.492386,23.03078,3
-36.553986,21.512121,2
4.3020153,-25.568348,3
32.595966,-1.7253052,3
-4.5746675,-8.719465,3
