UMAP1,UMAP2,assignment_delay_label
10.079779,11.876352,4
15.804191,7.8117676,3
-3.5492356,1.7620103,1
14.052662,3.0751214,4
-3.7442966,2.6301305,2
9.849708,12.992623,3
-3.855202,2.8049438,2
15.329763,8.213478,3
-4.7599087,0.57299685,1
-2.1977003,4.754313,2
11.295809,3.4182937,4
-4.472543,3.9692874,2
11.432267,10.768244,3
-2.6977918,2.32147,2
12.036972,-0.19760428,3
-4.752194,3.8485556,1
13.995036,3.1596794,4
14.388243,7.057682,3
-3.635516,2.344876,1
-5.9024224,3.3882937,0
-5.9609203,2.5249522,1
16.043972,7.417517,3
-2.2450478,3.4571311,2
14.016691,7.513305,3
-4.3664217,3.803054,2
-3.571693,1.7332762,1
14.60759,7.3369813,3
11.601485,2.2138023,3
-4.503466,1.4360116,1
-3.3078914,-0.59888864,1
10.595732,3.4798465,3
15.491707,8.30597,3
10.947509,2.7331073,3
10.833356,2.8417878,3
9.015287,12.163226,3
12.117088,3.4385693,4
-5.641647,1.928097,1
-5.5735297,2.6112316,1
-2.2224092,3.533396,2
10.223863,12.134861,3
12.534933,3.28741,4
-4.9466147,0.77274966,0
-4.576872,1.1607739,1
11.79211,2.660167,3
9.150757,8.148634,4
-2.6826036,0.75906575,2
10.35652,12.8249035,3
-5.9865217,3.2886546,0
-5.739362,3.4233844,1
11.232156,4.381187,4
9.599073,6.41832,4
-4.727711,0.7080598,0
9.6587305,6.3268,4
10.573733,12.175312,3
11.029461,10.875749,4
12.038083,-0.17424653,3
11.598414,11.080014,3
9.162867,12.383761,3
10.641875,3.564711,3
-5.136996,3.1863995,1
-3.1643202,-0.6062723,2
9.149434,12.347174,3
-4.774457,3.7501745,1
10.083821,2.32691,3
9.588504,6.821554,4
15.122335,7.394848,3
-2.6264126,3.7419713,2
10.011527,11.540258,4
-4.2514052,2.869544,1
9.767921,0.98430675,3
15.553599,8.3651495,3
10.784377,3.604541,4
10.373326,12.783253,3
15.139457,7.008145,3
13.583826,9.192248,3
10.0956335,12.048785,4
10.38084,12.15353,3
9.685257,6.70679,4
11.32103,11.145835,3
15.059111,7.125398,3
-5.9187794,2.4925008,1
10.033839,2.1848965,3
-4.5884867,3.8509185,2
11.235769,11.108797,3
10.239614,12.945734,3
9.863029,6.548116,4
10.982798,1.7671949,4
-3.1974173,-0.6951512,2
14.002428,3.0988395,4
16.11087,7.1281486,3
11.047008,11.813203,3
10.013425,2.1828113,3
10.116787,10.617759,4
-2.251791,2.5928524,2
-2.708069,0.44353867,2
13.652949,8.876958,3
16.047478,7.077255,3
14.23785,7.5139713,3
-3.4384246,1.7477535,2
9.769553,0.99414796,3
-4.537515,3.879647,1
11.808753,2.710285,3
-6.01432,2.845684,0
-2.2431128,3.4219759,2
-2.3496034,3.9626853,2
-3.4368281,1.8453528,2
11.775484,3.9886615,3
-2.7014406,0.72629464,2
-2.6339433,1.4826626,2
-5.222235,1.4815216,1
-4.7985034,2.5806231,2
10.754931,12.014679,3
10.748289,12.039534,3
10.54894,3.4893048,3
9.729585,12.85321,3
-2.2940729,4.739246,2
9.1415,12.255518,4
10.010764,2.1972585,3
11.323608,4.016393,3
-2.2216303,3.3910913,2
-2.1499476,3.1726182,2
-4.371466,2.7770765,2
13.63396,8.905633,3
13.519683,9.289709,3
11.816134,0.34762365,3
11.100735,12.120459,3
11.723058,4.0785775,3
11.059448,11.103972,4
-5.3375626,3.6817577,1
10.215952,1.5178999,3
14.038257,3.0812466,4
-5.460114,1.6872536,1
12.320662,3.418065,4
11.761708,0.82350177,4
-2.2049274,2.796807,2
-4.636472,4.0232105,1
12.069823,3.2621548,3
-2.442614,3.945833,2
-2.9813368,2.150532,2
15.100871,7.09817,3
15.545516,8.359075,3
-3.0703166,-0.5136718,2
14.763907,6.836455,3
15.146152,7.0545793,3
-2.1466496,3.1277015,2
-2.692477,1.508776,2
-5.6276884,2.7228403,1
-5.972221,2.410838,1
10.347183,12.881103,3
-5.5195794,1.7557238,1
11.911003,-0.034524117,3
11.914334,3.7238438,3
-4.5168486,1.7543732,1
11.986759,-0.13428257,3
-2.233046,4.71352,2
10.126237,10.619312,4
10.147399,12.129299,3
13.736595,8.587937,3
14.024855,7.324393,3
-5.6729445,1.881603,0
13.742027,8.088413,3
11.2427,10.797761,4
11.724373,4.0621347,3
13.727115,8.63619,3
9.672205,6.6887608,4
-5.7654757,3.4204533,1
-5.568537,3.6049337,1
11.073774,12.147963,3
-2.4063642,1.807568,2
16.020962,7.42138,3
9.188246,8.111165,4
-2.3929503,1.9607573,2
-4.872911,1.3204093,1
13.920168,7.818324,3
-2.2658415,4.7072525,2
15.956631,6.9928637,3
-3.0753932,-0.50892234,2
9.863472,12.982219,3
10.819262,2.0358288,3
11.643145,10.88017,3
11.870492,0.24072729,3
-4.720353,3.8462648,1
11.357638,11.090052,3
9.954509,1.3890761,4
-3.7755818,2.435613,1
-4.8421745,0.73227125,0
9.96186,2.2320592,3
14.715542,6.8830075,3
11.481472,2.3549373,3
-3.7882829,2.3927383,1
-2.29493,4.6767554,2
14.055701,7.358992,3
15.611989,8.406274,3
10.848237,11.546113,4
-4.411229,1.7465305,1
10.641061,3.5474281,3
-3.1655715,-0.64431566,2
-2.1717892,3.2728677,2
10.361062,1.5159912,3
11.577068,2.23249,3
9.834071,1.1368327,4
-4.6559973,1.4131676,1
-4.5440154,1.5420661,1
11.93432,-0.030472767,3
10.715777,12.0851755,3
-3.773083,2.7345858,2
-6.0107193,2.8731585,0
-5.7196307,3.259717,0
9.215681,8.069288,4
-4.7032394,1.3758453,1
-3.5173235,2.4920135,2
-4.2159786,0.04407903,1
-2.276513,4.641051,2
14.119314,7.407518,3
11.263472,11.081463,3
-3.0175142,2.3583508,1
11.88056,0.23989452,3
12.040078,3.4630468,3
-3.0765831,-0.50113684,2
-2.7430024,1.3729367,2
10.639916,3.5507617,3
10.079253,1.6339457,4
11.678893,4.1211967,3
9.847907,12.969335,3
12.088872,-0.24633859,3
10.550308,2.8536155,3
-4.810498,0.9190088,0
9.832824,1.0166417,3
14.015811,3.0733585,4
-4.1299105,2.8232415,1
9.74474,0.97085977,3
-4.5488677,1.5167935,1
9.751631,0.9810358,3
11.159475,12.113695,3
11.329893,11.471705,3
-2.2379742,3.8553302,2
13.547293,9.173926,3
13.596351,9.275166,3
9.572327,6.368171,4
-5.950161,2.6571717,1
-2.2393315,4.7192283,2
-5.896856,2.4260776,1
10.185879,10.614113,4
11.453043,10.778745,3
11.926659,3.7090006,3
10.6389065,3.5510032,3
9.155338,12.382646,3
-4.813399,0.67768615,0
9.950509,2.2503126,3
-3.7037485,1.7278739,1
14.01099,7.5262713,3
11.268403,11.517244,3
12.0398855,3.4678342,3
-4.832274,2.5527368,2
-2.853828,2.3064923,2
-2.8263326,2.3493826,2
-4.9935694,0.7926538,0
10.654771,11.633813,4
13.821787,7.9948525,3
-2.7818651,0.095456734,2
-3.4484537,2.0103333,2
-3.0794356,-0.53543687,2
11.587344,2.228347,3
13.995644,3.1856127,4
10.814349,2.8640044,3
9.255831,8.110798,4
10.759181,10.971825,4
-3.245991,2.2397487,1
11.587317,1.7302682,4
-4.1051,-0.030622717,1
12.107979,-0.27036425,3
-3.1286316,-0.55812436,2
9.590316,6.391873,4
14.007082,3.1098657,4
16.047815,7.0800467,3
11.547453,2.191084,3
-2.6289482,2.382853,2
-2.2590947,2.0859919,2
-5.1194344,2.4819133,1
9.639094,0.8669193,3
-2.7156513,2.3543425,2
10.203417,1.5300205,3
10.810306,2.034339,3
-3.6739702,1.9453623,1
9.756915,11.488037,4
9.133304,8.154683,4
10.354476,12.859201,3
11.442601,2.4077868,3
10.216368,12.951156,3
-5.5997787,3.5730076,1
11.343486,10.685017,3
-3.0704684,-0.53553826,2
-4.207556,1.5476242,1
-2.2576985,4.7261024,2
-5.941238,3.3497174,0
-5.6164217,1.8056958,0
-3.9199326,2.7864058,1
9.697329,6.685712,4
11.305009,4.002433,3
10.347195,11.813558,4
-2.3184764,3.949927,2
-3.252218,1.9341391,2
14.729867,6.88504,3
-3.0394263,2.2983382,1
11.32768,11.197639,3
-5.53572,2.8062851,1
10.251243,12.938051,3
11.066216,12.084412,3
-3.4743311,-0.3873223,1
10.867057,1.84596,3
12.000362,-0.121968046,3
-5.602244,1.8120805,0
9.514626,6.352146,4
13.631819,8.906344,3
9.498727,11.678465,4
-6.0326524,2.5446053,1
-5.2981625,2.6264458,1
-4.712773,1.1954869,1
-4.406914,3.8724272,2
-4.9014874,2.535811,1
9.146284,12.313833,3
15.548234,8.355738,3
11.062553,4.504098,4
15.6046915,8.418844,3
13.90421,7.8572245,3
-2.8133366,0.037865486,2
13.6112175,9.163909,3
10.631357,3.1278656,3
-4.4507256,3.9803805,2
-3.559386,-0.30746028,1
-2.6822104,1.4084278,2
-4.825714,0.58945775,1
-2.7031426,0.48833457,2
-4.3596005,3.7634203,2
10.790503,2.8287127,3
13.654976,8.857203,3
10.540178,2.872151,3
-2.207361,4.770968,2
10.429686,1.2716279,3
-2.1934597,2.8682873,2
13.777262,8.089625,3
-4.9879704,0.81535965,1
-4.5671086,0.47492483,1
-5.857106,3.306838,0
-4.128844,-0.019473536,1
11.802535,0.6041467,4
13.786848,8.0403385,3
9.569263,6.375433,4
16.108664,7.199881,3
-5.658212,1.8828095,1
14.747067,6.8612695,3
10.263054,2.1269734,3
9.109356,12.313892,3
-4.831595,1.2905929,1
-4.316747,3.7667677,2
13.822336,8.306022,3
11.46949,10.776599,3
-3.4523723,1.9790237,2
