ID,Hora de inicio,Hora de finalización,Correo electrónico,Nombre,Hora de la última modificación,"¿Con qué frecuencia planificas tus tareas académicas antes de comenzarlas?
","¿Con qué frecuencia divides tareas grandes en actividades más pequeñas antes de iniciarlas?
","¿Con qué frecuencia cumples tus actividades académicas sin necesidad de presión externa (por ejemplo, recordatorios o supervisión)?
","¿Con qué frecuencia logras mantener la concentración durante el tiempo que estudias?
","¿Con qué frecuencia evitas iniciar tareas académicas que consideras difíciles o poco interesantes?
","¿Con qué frecuencia revisas el celular mientras estás estudiando?
","¿Con qué frecuencia el uso de redes sociales interfiere con tu tiempo de estudio?
","¿Con qué frecuencia dejas tareas académicas para el último momento?
"
1,02/13/2026 13:16:32,02/13/2026 13:18:34,anonymous,,,A veces,A veces,Siempre,Frecuentemente,A veces,Frecuentemente,A veces,Rara vez
2,02/13/2026 13:45:13,02/13/2026 13:46:12,anonymous,,,Rara vez,A veces,Rara vez,Rara vez,A veces,Frecuentemente,Frecuentemente,A veces
3,02/13/2026 13:48:55,02/13/2026 13:49:25,anonymous,,,Frecuentemente,Frecuentemente,Siempre,A veces,A veces,Frecuentemente,Frecuentemente,A veces
4,02/13/2026 13:48:06,02/13/2026 13:51:14,anonymous,,,Rara vez, Nunca,Frecuentemente,Rara vez,Frecuentemente,Frecuentemente,Frecuentemente,A veces
5,02/13/2026 13:51:53,02/13/2026 13:52:35,anonymous,,,Siempre,Frecuentemente,Siempre,A veces,A veces,A veces,Frecuentemente,Rara vez
6,02/13/2026 13:53:59,02/13/2026 13:55:40,anonymous,,,A veces,Frecuentemente,A veces,Siempre,Rara vez,Rara vez,A veces,A veces
7,02/13/2026 13:54:24,02/13/2026 13:56:20,anonymous,,,Frecuentemente,Frecuentemente,Siempre,Frecuentemente,A veces,A veces,Rara vez,A veces
8,02/13/2026 13:56:11,02/13/2026 13:56:54,anonymous,,,Siempre,Frecuentemente,A veces,A veces,Frecuentemente,Frecuentemente,Frecuentemente,Rara vez
9,02/13/2026 13:55:09,02/13/2026 13:56:55,anonymous,,,Rara vez,Rara vez,Rara vez,A veces,Frecuentemente,Siempre,Frecuentemente,Frecuentemente
10,02/13/2026 13:57:51,02/13/2026 13:58:28,anonymous,,,Frecuentemente,Frecuentemente,Rara vez,A veces,Rara vez,Frecuentemente,Frecuentemente,A veces
11,02/13/2026 13:59:55,02/13/2026 14:00:28,anonymous,,,Rara vez,Rara vez,Rara vez,Nunca,Frecuentemente,Siempre,Siempre,Siempre
12,02/13/2026 13:59:41,02/13/2026 14:00:32,anonymous,,,Nunca,Rara vez,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Rara vez,Frecuentemente
