id,hora_inicio,hora_fin,correo,nombre,hora_ultima_modificacion,frecuencia_planificacion_tareas,frecuencia_dividir_tareas,frecuencia_autonomia_sin_presion,frecuencia_concentracion_estudio,frecuencia_evitar_tareas_dificiles,frecuencia_revisar_celular_estudio,frecuencia_interferencia_redes,frecuencia_dejar_ultimo_momento
1,2026-02-13 13:16:32,2026-02-13 13:18:34,anonymous,,,A veces,A veces,Siempre,Frecuentemente,A veces,Frecuentemente,A veces,Rara vez
2,2026-02-13 13:45:13,2026-02-13 13:46:12,anonymous,,,Rara vez,A veces,Rara vez,Rara vez,A veces,Frecuentemente,Frecuentemente,A veces
3,2026-02-13 13:48:55,2026-02-13 13:49:25,anonymous,,,Frecuentemente,Frecuentemente,Siempre,A veces,A veces,Frecuentemente,Frecuentemente,A veces
4,2026-02-13 13:48:06,2026-02-13 13:51:14,anonymous,,,Rara vez,Nunca,Frecuentemente,Rara vez,Frecuentemente,Frecuentemente,Frecuentemente,A veces
5,2026-02-13 13:51:53,2026-02-13 13:52:35,anonymous,,,Siempre,Frecuentemente,Siempre,A veces,A veces,A veces,Frecuentemente,Rara vez
6,2026-02-13 13:53:59,2026-02-13 13:55:40,anonymous,,,A veces,Frecuentemente,A veces,Siempre,Rara vez,Rara vez,A veces,A veces
7,2026-02-13 13:54:24,2026-02-13 13:56:20,anonymous,,,Frecuentemente,Frecuentemente,Siempre,Frecuentemente,A veces,A veces,Rara vez,A veces
8,2026-02-13 13:56:11,2026-02-13 13:56:54,anonymous,,,Siempre,Frecuentemente,A veces,A veces,Frecuentemente,Frecuentemente,Frecuentemente,Rara vez
9,2026-02-13 13:55:09,2026-02-13 13:56:55,anonymous,,,Rara vez,Rara vez,Rara vez,A veces,Frecuentemente,Siempre,Frecuentemente,Frecuentemente
10,2026-02-13 13:57:51,2026-02-13 13:58:28,anonymous,,,Frecuentemente,Frecuentemente,Rara vez,A veces,Rara vez,Frecuentemente,Frecuentemente,A veces
11,2026-02-13 13:59:55,2026-02-13 14:00:28,anonymous,,,Rara vez,Rara vez,Rara vez,Nunca,Frecuentemente,Siempre,Siempre,Siempre
12,2026-02-13 13:59:41,2026-02-13 14:00:32,anonymous,,,Nunca,Rara vez,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Rara vez,Frecuentemente
13,2026-02-13 14:00:42,2026-02-13 14:01:40,anonymous,,,Frecuentemente,Rara vez,Siempre,A veces,Frecuentemente,Siempre,Siempre,Rara vez
14,2026-02-13 14:02:31,2026-02-13 14:03:07,anonymous,,,Frecuentemente,A veces,Siempre,Frecuentemente,A veces,A veces,Frecuentemente,Rara vez
15,2026-02-13 14:03:06,2026-02-13 14:04:32,anonymous,,,Rara vez,A veces,A veces,Rara vez,A veces,Frecuentemente,Frecuentemente,A veces
16,2026-02-13 14:04:19,2026-02-13 14:05:54,anonymous,,,A veces,A veces,Frecuentemente,Frecuentemente,A veces,A veces,A veces,Rara vez
17,2026-02-13 14:05:52,2026-02-13 14:06:36,anonymous,,,A veces,Frecuentemente,Frecuentemente,Frecuentemente,A veces,Frecuentemente,A veces,A veces
18,2026-02-13 14:10:59,2026-02-13 14:16:18,anonymous,,,A veces,Nunca,Frecuentemente,Frecuentemente,Frecuentemente,Siempre,Frecuentemente,A veces
